"x","y","z","og","cluster"
14.7533260282702,-29.9549517203111,4.11017219770132,"OG41_35",0
6.38367605533615,-32.6658150773284,-0.933828258183945,"OG115_35",0
16.7654011245923,13.9683692811685,-11.2703411078534,"OG259_35",1
23.6547134759664,-12.6235695204157,5.07381092385837,"OG318_35",0
24.2070883557678,-13.4917422228358,1.41678849672439,"OG332_35",0
26.1140664632079,-0.0968435243822281,4.24945861156337,"OG358_35",2
31.642863389942,9.39140095533347,-3.34745484667017,"OG363_35",2
8.01750289169618,-1.56708113143722,-7.47395376821054,"OG418_35",1
19.8531487163032,19.8905619798332,4.77952741232098,"OG534_35",2
22.3788792667443,1.82267223183299,-4.56458515338596,"OG628_35",2
5.77629363080474,-36.0731612740682,6.20425077767608,"OG719_35",0
27.0572809631713,-10.4811196810299,1.85572866401725,"OG830_35",0
30.2334181426635,9.63724720309363,-7.04117170449271,"OG834_35",1
25.2511551057622,-4.23314468165653,5.76992751677062,"OG885_35",3
27.9555675523714,0.136206788424579,-0.697115553074505,"OG1044_35",2
31.765855165562,-7.7084863417282,2.02915239440915,"OG1166_35",0
14.1395553489591,-30.7910285516186,0.827657162392945,"OG1194_35",0
20.0486492010479,-4.0973134778588,0.9476759937814,"OG1211_35",2
8.9001080220872,-34.449368958589,3.34119245040705,"OG1214_35",0
6.68619126695283,27.4307525521705,4.25372711245806,"OG1378_35",3
26.0500308597256,25.7150314394165,5.87756728850043,"OG1403_35",3
2.62033083238179,26.0119822567155,-9.64224781142792,"OG1517_35",1
-33.3284985261686,-6.68326396121358,-21.7431354100417,"OG1827_35",1
9.0031115569297,-14.129845404571,-8.75717290608894,"OG1930_35",1
34.2638727258759,12.227114825536,5.37926078853994,"OG2016_35",2
25.6568929991979,-14.1849446571891,1.88055924176516,"OG2104_35",0
38.9650364794979,8.0957554929133,3.44988533620453,"OG2109_35",3
10.9061805653437,-26.7453071029422,4.06664282791969,"OG2130_35",0
15.530442595451,-15.2415188842517,2.74556444564785,"OG2143_35",0
28.9706347461352,7.299513372298,1.64052947058734,"OG2153_35",2
24.4366663670011,-5.99605092658486,3.51412412550152,"OG2158_35",0
27.5609820992901,-6.5610870262532,1.68190100735582,"OG2173_35",2
-2.64550710830998,-45.8720787836023,2.61408848854514,"OG2426_35",0
-9.38086935964182,-52.6278057873962,1.92204941042953,"OG2453_35",0
-2.64570840067903,-38.8916284250567,-3.09725013540839,"OG2464_35",0
23.8461538126755,-8.57531031435549,3.50420408261554,"OG2500_35",0
6.82543863276496,8.70510575419766,-10.5460090557456,"OG2591_35",1
29.2031055660771,23.1709588652965,3.96146291762977,"OG2640_35",3
25.1029691305172,16.5176925208353,-8.59581873667027,"OG2692_35",1
25.5868136320198,20.419129777044,2.90277958746841,"OG2743_35",2
22.4556265465555,-18.416836625511,3.45474032804257,"OG2836_35",0
-3.26111122689858,-38.5487446106672,2.47852087283674,"OG2898_35",0
11.7083489340401,-1.36920198573133,-0.96918079487867,"OG3237_35",2
23.6441927757314,-13.5701860348745,0.568158547765763,"OG3406_35",0
